2022-03-30T16:34:48.534929106Z stdout: CANARY ::> Connection Establish -> Time = 0.009201288223266602.s
2022-03-30T16:34:48.534952673Z stdout: CANARY ::> Iteration 0 starting -> Time = 0.009237527847290039.s
2022-03-30T16:34:48.981643888Z stdout: CANARY ::> Query 1 completed -> Time = 0.45589447021484375.s
2022-03-30T16:34:49.453372603Z stdout: CANARY ::> Query 2 completed -> Time = 0.927649736404419.s
2022-03-30T16:34:49.487025397Z stdout: CANARY ::> Query 3 completed -> Time = 0.961322546005249.s
2022-03-30T16:34:50.372478682Z stdout: CANARY ::> Query 4 completed -> Time = 1.8468472957611084.s
2022-03-30T16:34:50.374013403Z stdout: CANARY ::> Query 5 completed -> Time = 1.8484280109405518.s
2022-03-30T16:34:52.401836004Z stdout: CANARY ::> Query 6 completed -> Time = 3.876147747039795.s
2022-03-30T16:34:52.401852753Z stdout: CANARY ::> State 0 collection -> Time = 3.876190185546875.s
2022-03-30T16:34:52.401855325Z stdout: CANARY ::> Iteration 1 starting -> Time = 3.87619948387146.s
2022-03-30T16:34:52.824690443Z stdout: CANARY ::> Query 1 completed -> Time = 4.298944473266602.s
2022-03-30T16:34:53.33365651Z  stdout: CANARY ::> Query 2 completed -> Time = 4.807910919189453.s
2022-03-30T16:34:53.368091482Z stdout: CANARY ::> Query 3 completed -> Time = 4.842376470565796.s
2022-03-30T16:34:54.332872318Z stdout: CANARY ::> Query 4 completed -> Time = 5.80713152885437.s
2022-03-30T16:34:54.333382827Z stdout: CANARY ::> Query 5 completed -> Time = 5.807853937149048.s
2022-03-30T16:34:56.330039537Z stdout: CANARY ::> Query 6 completed -> Time = 7.804302930831909.s
2022-03-30T16:34:56.330054799Z stdout: CANARY ::> State 1 collection -> Time = 7.804348468780518.s
2022-03-30T16:34:56.330057782Z stdout: CANARY ::> Iteration 2 starting -> Time = 7.804357528686523.s
2022-03-30T16:34:56.747758425Z stdout: CANARY ::> Query 1 completed -> Time = 8.222155570983887.s
2022-03-30T16:34:57.240082469Z stdout: CANARY ::> Query 2 completed -> Time = 8.714407920837402.s
2022-03-30T16:34:57.275085756Z stdout: CANARY ::> Query 3 completed -> Time = 8.749435663223267.s
2022-03-30T16:34:58.241413692Z stdout: CANARY ::> Query 4 completed -> Time = 9.71568489074707.s
2022-03-30T16:34:58.242015682Z stdout: CANARY ::> Query 5 completed -> Time = 9.71648621559143.s
2022-03-30T16:35:00.229105426Z stdout: CANARY ::> Query 6 completed -> Time = 11.703373432159424.s
2022-03-30T16:35:00.229122757Z stdout: CANARY ::> State 2 collection -> Time = 11.703418254852295.s
2022-03-30T16:35:00.229125679Z stdout: CANARY ::> Iteration 3 starting -> Time = 11.703426361083984.s
2022-03-30T16:35:00.654305343Z stdout: CANARY ::> Query 1 completed -> Time = 12.128559112548828.s
2022-03-30T16:35:01.13160119Z  stdout: CANARY ::> Query 2 completed -> Time = 12.605852603912354.s
2022-03-30T16:35:01.167003713Z stdout: CANARY ::> Query 3 completed -> Time = 12.641274690628052.s
2022-03-30T16:35:02.124637454Z stdout: CANARY ::> Query 4 completed -> Time = 13.598963260650635.s
2022-03-30T16:35:02.125155883Z stdout: CANARY ::> Query 5 completed -> Time = 13.599640846252441.s
2022-03-30T16:35:04.137301597Z stdout: CANARY ::> Query 6 completed -> Time = 15.611607789993286.s
2022-03-30T16:35:04.137320041Z stdout: CANARY ::> State 3 collection -> Time = 15.611652851104736.s
2022-03-30T16:35:04.137322841Z stdout: CANARY ::> Iteration 4 starting -> Time = 15.611660718917847.s
2022-03-30T16:35:04.555772645Z stdout: CANARY ::> Query 1 completed -> Time = 16.030006170272827.s
2022-03-30T16:35:05.027908867Z stdout: CANARY ::> Query 2 completed -> Time = 16.502261877059937.s
2022-03-30T16:35:05.061984471Z stdout: CANARY ::> Query 3 completed -> Time = 16.536361694335938.s
2022-03-30T16:35:05.942982111Z stdout: CANARY ::> Query 4 completed -> Time = 17.417324781417847.s
2022-03-30T16:35:05.943575555Z stdout: CANARY ::> Query 5 completed -> Time = 17.41805100440979.s
2022-03-30T16:35:07.942572342Z stdout: CANARY ::> Query 6 completed -> Time = 19.416869401931763.s
2022-03-30T16:35:07.942591813Z stdout: CANARY ::> State 4 collection -> Time = 19.416914701461792.s
2022-03-30T16:35:07.942595132Z stdout: CANARY ::> Iteration 5 starting -> Time = 19.416922569274902.s
2022-03-30T16:35:08.36748879Z  stdout: CANARY ::> Query 1 completed -> Time = 19.841734409332275.s
2022-03-30T16:35:08.841597538Z stdout: CANARY ::> Query 2 completed -> Time = 20.31587028503418.s
2022-03-30T16:35:08.877052986Z stdout: CANARY ::> Query 3 completed -> Time = 20.35140585899353.s
2022-03-30T16:35:09.765749837Z stdout: CANARY ::> Query 4 completed -> Time = 21.240092754364014.s
